id2;Aponds;Tipologia;Tipo;Apond;Tipo;Nome;Munic;RegMetrop;Setores;Pessoas_Univ;Domicílios_Univ;Pessoas_Amo;Domicílios_Amo;Pp_Mobilidade;arborizacao;esgoto_ceu_aberto;lixo_acumulado;Pp_N_AglSubn;Pp_Densidade;Pp_Dens_MB_adeq;Pp_Parede;Pp_Especie;Pp_Agua;Pp_Esgoto;Pp_Lixo;Pp_Energia;Iluminacao;pavimentacao;calcada;meio_fio_guia;bueiro_boca_de_lobo;rampa_cadeirante;logradouro;IMobilid;IArbor;IEsg_ceu;ILixo_acum;IAglsubn;IDensid;IDens_banh;IParede;IEspecie;IAgua;IEsgoto;ILixo;IEnergia;IIlumin;IPavim;ICalcada;IMeio_fio;IBueiro;IRampa;ILograd;D1;D2;D3;D4;D5;IBEU
11;4111100001001;AGRICOLA POPULAR;2;4.111.100.001.001;Município Inteiro;Município de Itambé;4.111.100;36;12;5.979;1.897;1.873;601;91,528545119705;99,699805756666;100;100,000000000000;100;93,64096792347;82,329769274057;95,891952729319;100,000000000000;91,727630838492;67,754642656162;99,831176139561;100,000000000000;95,320501500971;92,901289069398;94,29630937666;93,554653010772;54,052622285008;6,374713049620;44,923185590676;0,501679124689;0,982341515098;1;1,000000000000;1;0,665060495217;0,419621084224;0,758350160548;1,000000000000;0,640331775587;0,67754642656;0,975882305652;1,000000000000;0,610041791748;0,870932528535;0,90800498995;0,882811872923;0,403280808896;0,092387145647;0,360520308321;0,502;0,994;0,769;0,794;0,590;0,730
12;4111605001001;AGRICOLA POPULAR;2;4.111.605.001.001;Município Inteiro;Município de Ivatuba;4.111.605;36;9;3.010;1.308;1.020;437;93,949044585987;95,019832525342;100;100,000000000000;100;95,62419562420;79,922779922780;86,357786357786;99,099099099099;90,218790218790;0,514800514801;99,099099099099;99,099099099099;98,854120758043;86,029087703834;76,64169237550;82,282944028206;58,616130453945;7,315998237109;15,513442044954;0,644061446235;0,707048972079;1;1,000000000000;1;0,789012226512;0,330473330473;0,197516844576;0,849849849850;0,574730009513;0,00514800515;0,871299871300;0,871299871300;0,904510063170;0,745983412797;0,62325310283;0,677871709604;0,462547148753;0,106028959958;0,006186048734;0,644;0,902;0,633;0,466;0,504;0,630
13;4112108001001;AGRICOLA POPULAR;2;4.112.108.001.001;Município Inteiro;Município de Jandaia do Sul;4.112.108;36;34;20.269;6.683;2.024;664;97,600000000000;97,786855261554;100;100,000000000000;100;94,65357337698;86,688488816148;96,235679214403;99,345335515548;98,417894162575;51,227495908347;97,926895799236;99,181669394435;99,731740031704;99,768320936471;96,93330081697;98,695281063285;95,390805999268;49,810998658700;74,094622606999;0,858823529412;0,869815015385;1;1,000000000000;1;0,728348336061;0,581055141339;0,778569365553;0,890889252591;0,931212789677;0,51227495908;0,703842257034;0,883095627776;0,977645002642;0,995787653390;0,95053710995;0,976277837514;0,940140337653;0,721898531286;0,711983404904;0,859;0,957;0,796;0,709;0,896;0,843
14;4113601001001;AGRICOLA HETEROGENEO;3;4.113.601.001.001;Município Inteiro;Município de Lobato;4.113.601;36;10;4.401;1.454;1.410;478;99,003322259136;100,000000000000;100;95,666013712047;100;94,78851963746;87,084592145015;95,996978851964;99,546827794562;98,867069486405;96,525679758308;98,867069486405;99,320241691843;99,534769833497;84,794319294809;78,10969637610;89,618021547503;65,475024485798;2,619980411361;26,542605288932;0,941371897596;1,000000000000;1;0,803000623275;1;0,736782477341;0,595725635001;0,764528167763;0,924471299094;0,950742151583;0,96525679758;0,838152783772;0,902891670263;0,961230819458;0,723533078087;0,64693058671;0,811236755409;0,551623694621;0,037970730599;0,139067533602;0,941;0,934;0,804;0,924;0,553;0,832
15;4114104001001;AGRICOLA HETEROGENEO;3;4.114.104.001.001;Município Inteiro;Município de Mandaguaçu;4.114.104;36;31;19.781;6.175;3.893;1.189;97,589531680441;89,824888009774;99;96,142882075746;100;91,38673557278;80,333046224519;89,577950043066;99,397071490095;97,904105656044;29,227677289693;99,196095320126;99,569336778639;98,795741462563;77,852114724533;66,60655070103;77,136540810984;79,737041130956;8,325091628367;23,928093548199;0,858207745908;0,401464000575;1;0,824676457988;1;0,524170973299;0,345668378686;0,386938237827;0,899511915016;0,908874158958;0,29227677290;0,885156474304;0,938476682663;0,899645121880;0,597311176810;0,46139597905;0,584300742018;0,736844690012;0,120653501860;0,107567392147;0,858;0,670;0,631;0,663;0,501;0,665
16;4114203003001;AGRICOLA HETEROGENEO;3;4.114.203.003.001;Definida automaticamente;Área 001;4.114.203;36;18;12.685;4.161;1.239;414;94,718309859155;88,236227972694;100;97,586918558501;100;94,75383373688;89,991928974980;90,476190476191;99,838579499596;99,757869249395;38,983050847458;99,677158999193;99,677158999193;98,452135259565;82,267026512145;76,84553103667;94,649944435625;58,104461025560;15,431020796952;56,683600571519;0,689312344656;0,308013410158;1;0,890314479932;1;0,734614608555;0,703404776851;0,439775910364;0,973096583266;0,989472576061;0,38983050847;0,953879857028;0,953879857028;0,871011271630;0,677582300221;0,62654082317;0,902726262466;0,455902091241;0,223637982565;0,502212055079;0,689;0,733;0,770;0,735;0,609;0,707
17;4114203003002;AGRICOLA POPULAR;2;4.114.203.003.002;Definida automaticamente;Área 002;4.114.203;36;47;19.973;6.666;1.969;658;92,957746478873;94,226507092199;100;99,673093971631;100;93,17803660566;81,530782029950;89,683860232945;99,556295063783;98,447032723239;61,952301719357;98,946200776484;99,556295063783;98,598182624114;85,017730496454;83,36657801418;87,034574468085;77,033466312057;21,703235815603;57,430186170213;0,585749792875;0,660382770129;1;0,985140635074;1;0,636127287854;0,390028964072;0,393168248997;0,926049177297;0,932479683619;0,61952301719;0,849457253783;0,936613580540;0,883181885343;0,727595099936;0,73171900023;0,764264990329;0,701733328728;0,314539649501;0,511207062292;0,586;0,882;0,669;0,792;0,662;0,718
18;4114807003001;AGRICOLA;1;4.114.807.003.001;Definida automaticamente;Área 001;4.114.807;36;41;14.015;4.390;1.366;436;96,100278551532;98,137880531436;99;96,338529134847;100;90,44038668099;84,854994629431;93,877551020408;100,000000000000;93,233082706767;21,804511278196;97,529538131042;96,348012889366;97,185898106497;92,488754053771;77,71733444921;92,007532168637;37,598075112460;0,941521079611;22,899884925201;0,770604620678;0,890463560673;1;0,833569506129;1;0,465024167562;0,513147949238;0,639855942377;1,000000000000;0,705786204642;0,21804511278;0,647076875863;0,478287555624;0,765491508875;0,863431891887;0,64060216854;0,854682403066;0,189585391071;0,013645233038;0,095179336448;0,771;0,828;0,724;0,453;0,489;0,653
19;4114807003002;AGRICOLA POPULAR;2;4.114.807.003.002;Definida automaticamente;Área 002;4.114.807;36;26;17.944;5.748;1.738;560;98,328267477204;99,631526355234;100;98,369972520610;100;93,77806286081;85,695958948044;96,407953816549;99,037844772290;98,588838999359;61,385503527903;98,460551635664;98,139833226427;99,325505870597;99,144391706220;94,21059205596;98,875843117662;59,942543092681;26,430177366975;35,448413689733;0,901662792777;0,978325079720;1;0,925907841846;1;0,673628928801;0,544294775853;0,788703165679;0,839640795382;0,938645173885;0,61385503528;0,780078805095;0,734261889490;0,943792155883;0,984443485568;0,90662245252;0,979560783957;0,479773286918;0,383046048797;0,246366429997;0,902;0,968;0,769;0,736;0,703;0,816
20;4115200004001;MÉDIO;6;4.115.200.004.001;Definida automaticamente;Área 001;4.115.200;36;18;13.330;4.252;1.282;406;96,264855687606;98,458878364156;100;100,000000000000;100;96,33385335413;90,483619344774;96,411856474259;100,000000000000;99,843993759750;98,283931357254;100,000000000000;99,297971918877;100,000000000000;100,000000000000;98,55660802887;99,962411667418;95,324011426853;0,992331980153;95,399188092016;0,780285628683;0,909345786127;1;1,000000000000;1;0,833365834633;0,721615531288;0,788932733780;1,000000000000;0,993217119989;0,98283931357;1,000000000000;0,899710274125;1,000000000000;1,000000000000;0,97671948434;0,999316575771;0,939272875673;0,014381622901;0,968664916771;0,780;0,970;0,869;0,972;0,843;0,887
21;4115200004002;MÉDIO;6;4.115.200.004.002;Definida automaticamente;Área 002;4.115.200;36;21;13.548;4.383;1.337;429;98,010849909584;97,739272700231;100;100,000000000000;100;93,34330590875;92,819745699327;96,035901271503;99,476439790576;99,177262528048;97,905759162304;99,476439790576;99,476439790576;99,881014352644;100,000000000000;99,98512679408;100,000000000000;99,657916263851;2,811035918792;90,339852755261;0,882991171152;0,867016041190;1;1,000000000000;1;0,646456619297;0,808138729605;0,766817721853;0,912739965096;0,964228805567;0,97905759162;0,925205684368;0,925205684368;0,990084529387;1,000000000000;0,99976010958;1,000000000000;0,995557354076;0,040739650997;0,907709069340;0,883;0,956;0,827;0,955;0,848;0,894
